name,Calcium (Ca),Copper (Cu),Magnesium (Mg),Phosphorus (P),Potassium (K),Total Selenium,Total iron,Zinc (Zn),"niacin equivalents, total",riboflavin,thiamin,vitamin B-12,"vitamin B-6, total",vitamin E; alpha-tocopherol equiv from E vitamer activities,"vitamin K, total"
Liquid drink bases (including concentrates and home-made preparations),,0.01,4.0,,80.0,0.0,,0.05,0.16,,,0.0,,,0.002
Liquorice candies,128.0,0.11,36.0,22.0,294.0,0.001,3.3,0.29,0.417,,,0.0,,,0.0
"Liquorice candies, QUAL Sugar free",132.0,0.11,35.0,22.0,314.0,0.001,3.5,0.29,0.0,0.0,0.0,0.0,0.0,0.0,
Liquorice roots,16.0,0.226,43.0,34.0,415.0,,0.6,0.34,0.95,0.034,0.025,0.0,0.16,0.0,0.0
Litchis,5.0,0.15,18.0,30.0,182.0,,0.3,0.18,1.5,0.04,0.09,0.0,0.04,0.7,0.0
Liver based spreadable-textured specialities,12.0,0.38,9.0,194.0,153.0,0.019,6.8,2.7,7.5,0.81,0.06,0.00855,0.121,0.6,0.01
Liver cheese,11.0,0.34,12.0,308.0,270.0,0.022,6.9,2.9,9.9,0.84,0.12,0.0075899999999999995,0.146,0.9,0.009
Liver-type sausage,13.0,0.59,12.0,226.0,150.0,0.02,5.4,2.44,8.23,0.78,0.08,0.00943,0.149,0.3,0.0
"Liver-type sausage, QUAL Low fat (naturally or reduced)",16.0,0.797,28.0,322.0,381.0,0.0197,10.808,5.243,11.895,1.876,0.474,0.0192,0.572,0.349,0.005
"Lobster, european",48.0,0.7,29.0,144.0,138.0,0.0381,0.3,4.6,5.67,0.05,0.085,0.0063,0.21,1.5,0.0
"Lobster, european, PROCESS Baking",74.0,0.801,26.0,254.0,225.0,,1.024,1.928,3.941,0.095,0.141,0.0011,1.28,1.772,0.0
"Lobster, european, PROCESS Cooking in water",60.0,1.35,34.0,200.0,250.0,0.13,1.0,2.5,5.5,0.1,0.15,0.002,0.07,1.5,0.0
"Lobster, european, PROCESS Frying",74.0,0.801,26.0,254.0,225.0,,1.024,1.928,3.941,0.095,0.141,0.0011,1.28,1.772,0.0
"Lobster, european, PROCESS Steaming",60.0,1.35,34.0,200.0,250.0,0.13,1.0,2.5,5.5,0.1,0.15,0.002,0.07,1.5,0.0
"Lobster, norway",48.0,0.7,67.5,144.0,213.0,0.055,2.0,4.6,5.67,0.01,0.13,0.0009,0.21,1.5,0.0
"Lobster, norway, PROCESS Cooking in water",60.0,1.35,34.0,200.0,250.0,0.13,1.0,2.5,2.0,0.1,0.15,0.002,0.07,1.5,
"Lobster, norway, PROCESS Steaming",60.0,1.35,34.0,200.0,250.0,0.13,1.0,2.5,2.0,0.1,0.15,0.002,0.07,1.5,
"Lobsters (including lobster meat), cooked-deprecated",60.0,1.35,34.0,200.0,250.0,,1.0,2.5,5.5,0.1,0.15,0.002,0.07,1.5,0.0
Loganberries,60.0,0.11,23.0,25.0,185.0,0.0,1.0,0.2,0.633,0.04,0.03,0.0,0.03,2.4,0.0
Loquats,20.0,0.04,10.0,22.0,220.0,0.001,0.4,0.2,0.333,0.03,0.02,0.0,0.04,0.5,0.0
Lovage leaves,150.0,0.12,30.0,50.0,400.0,,2.0,1.2,1.867,0.15,0.08,0.0,0.05,1.0,0.0
Low-malt beers,3.0,0.04,10.0,25.0,50.0,,0.015,0.02,1.004,0.03,0.004,0.0,0.05,0.0,0.0
Luncheon spiced ham-type tinned meat,10.0,0.06,13.0,250.0,250.0,0.008,3.0,1.7,6.83,0.12,0.1,0.00066,0.035,0.1,
Macadamias,70.0,0.57,118.0,198.0,363.0,0.012,2.6,1.29,4.0,0.09,0.71,0.0,0.359,0.6,0.0
Macaroons,10.0,0.23,41.0,35.0,150.0,0.003,0.7,0.4,2.1,0.05,0.02,,0.041,,
Mace aril,184.0,2.47,160.0,213.0,350.0,,3.0,2.3,2.817,0.06,0.35,0.0,0.0,0.0,0.0
Mackerel,12.0,0.09,24.0,244.0,396.0,0.036,1.0,0.1,11.2,0.36,0.13,0.0055,0.63,1.3,
Mackerel and mackerel-like fishes-deprecated,12.0,0.09,24.0,244.0,396.0,0.036,1.0,0.1,12.1,0.36,0.13,0.0055,0.63,1.3,0.002
"Mackerel and mackerel-like fishes-deprecated, PROCESS Baking",12.0,0.09,28.0,230.0,360.0,0.036,1.2,0.7,13.3,0.32,0.15,0.001,0.45,0.46,0.002
"Mackerel and mackerel-like fishes-deprecated, PROCESS Cooking in water",12.0,0.09,28.0,244.0,396.0,0.036,1.0,0.7,12.33,0.36,0.13,0.006,0.63,0.5,0.002
"Mackerel and mackerel-like fishes-deprecated, PROCESS Frying",14.0,0.1,31.0,250.0,370.0,0.038,1.0,0.8,13.3,0.3,0.14,0.011,0.42,1.385,0.002
"Mackerel and mackerel-like fishes-deprecated, PROCESS Steaming",12.0,0.09,28.0,244.0,396.0,0.036,1.0,0.7,12.33,0.36,0.13,0.006,0.63,0.5,0.002
"Mackerel, PROCESS Baking",12.0,0.09,28.0,230.0,360.0,0.036,1.2,0.7,13.3,0.32,0.15,0.001,0.45,0.46,0.002
"Mackerel, PROCESS Cooking in water",12.0,0.09,28.0,244.0,396.0,0.036,1.0,0.7,12.33,0.36,0.13,0.006,0.63,0.5,0.002
"Mackerel, PROCESS Frying",14.0,0.1,31.0,250.0,370.0,0.038,1.0,0.8,13.3,0.3,0.14,0.011,0.42,1.385,0.002
"Mackerel, PROCESS Steaming",12.0,0.09,28.0,244.0,396.0,0.036,1.0,0.7,12.33,0.36,0.13,0.006,0.63,0.5,0.002
Madeira,,0.13,10.0,,100.0,,0.4,0.14,0.08,,0.0,0.0,,0.0,0.0
Main-crop potatoes,6.0,0.08,22.0,60.0,450.0,0.001,0.5,0.37,1.72,0.04,0.12,0.0,0.3,0.06,0.002
"Main-crop potatoes, PROCESS Baking",9.0,0.08,19.0,41.0,344.0,,0.5,0.33,2.05,0.01,0.05,0.0,0.187,0.1,0.002
"Main-crop potatoes, PROCESS Cooking in water",9.0,0.08,19.0,41.0,344.0,,0.5,0.33,1.5,0.01,0.05,0.0,0.187,0.1,0.002
"Main-crop potatoes, PROCESS Steaming",9.0,0.08,19.0,41.0,344.0,,0.5,0.33,2.25,0.01,0.05,0.0,0.187,0.1,
Maize flour,20.0,0.18,47.0,180.0,285.0,0.0032,3.3,2.5,0.833,0.08,0.26,0.0,0.06,1.11,0.0
"Maize oil, edible",,0.01,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,17.2,0.0019
Maize semolina,4.0,0.075,20.0,73.0,80.0,,1.0,0.41,2.267,0.04,0.13,0.0,0.15,0.52,0.0
"Maize semolina, PROCESS Baking",3.0,0.09,34.0,76.0,81.0,,0.566,0.53,0.836,0.054,0.051,0.0,0.068,0.566,0.015
"Maize semolina, PROCESS Cooking in water",3.0,,,50.0,65.0,,0.9,0.5,1.0,0.05,0.18,0.0,,,0.015
"Maize semolina, PROCESS Steaming",3.0,,,50.0,65.0,,0.9,0.5,1.0,0.05,0.18,0.0,,,0.015
Maize starch,20.0,0.05,2.0,30.0,3.0,0.0,1.5,0.3,0.083,,0.0,0.0,,0.0,0.0
Mallard fresh meat,10.0,0.312,20.0,200.0,300.0,,2.0,0.77,7.117,0.2,0.3,0.003,0.4,0.15,0.0
"Mallard fresh meat, PROCESS Baking",21.0,0.294,26.0,242.0,341.0,,3.712,2.634,9.008,0.258,0.279,0.0003,0.307,0.0,0.001
"Mallard fresh meat, PROCESS Cooking in water",15.0,0.148,19.0,170.0,162.0,,2.664,2.245,6.512,0.232,0.146,0.0002,0.242,0.0,0.001
"Mallard fresh meat, PROCESS Steaming",15.0,0.148,19.0,170.0,162.0,,2.664,2.245,6.512,0.232,0.146,0.0002,0.242,0.0,0.001
Malt coffee infusion,4.0,0.01,5.0,10.0,41.0,0.0011,0.1,0.01,0.29,,0.01,0.0,0.01,0.02,
Malt extract,31.0,,,,440.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,
Mandarins,25.0,0.03,10.0,19.0,145.0,,0.1,0.08,0.4,0.03,0.06,0.0,0.076,0.3,
Mandarins and similar-,25.0,0.03,10.0,19.0,145.0,,0.1,0.08,0.333,0.03,0.06,0.0,0.076,0.3,0.003
Mango chutney,9.0,,19.0,8.0,42.0,,1.1,,1.0,0.01,,0.0,0.077,0.313,0.0
Mango pickle,58.0,0.4,55.0,,170.0,,8.6,0.3,0.9,0.07,0.06,0.0,,,
Mangoes,14.0,0.12,11.0,12.0,143.0,0.002,0.2,0.07,0.65,0.04,0.03,0.0,0.04,1.1,0.0
"Marine shrimps or prawns, cooked-deprecated",134.0,0.71,35.0,139.0,142.0,0.031,0.2,1.8,7.5,0.33,0.02,,0.042,5.1,0.0
"Marmalade, oranges",8.0,0.03,4.0,9.0,69.0,,0.4,0.04,0.2,0.01,0.01,0.0,0.013,0.5,0.0
"Marmalade, oranges, SWEET Fructose",19.8,0.044,8.0,17.3,78.0,0.0004,0.4,0.24,0.467,0.044,0.053,0.0,0.042,,0.0
Marzipan,88.0,0.21,96.0,194.0,267.0,0.001,1.1,0.97,3.43,0.24,0.04,5e-05,0.019,6.7,0.0
Marzipan pie,79.0,0.2,42.0,128.0,162.0,0.002,1.27,0.8,2.3,0.15,0.12,0.0003,0.07,9.41,0.002
Marzipan raw mass,88.0,0.21,96.0,194.0,267.0,0.001,1.1,0.97,4.65,0.24,0.04,5e-05,0.019,6.7,0.0
Mascarpone,68.0,0.1,10.0,97.0,53.0,0.002,0.2,0.4,1.27,0.22,0.01,0.0003,0.04,1.0,0.0
Mashed potato powder,21.0,0.24,70.0,370.0,1700.0,0.001,1.6,1.2,8.77,0.22,0.13,0.0,1.7,0.4,0.0
Mashed vegetable puree,35.0,0.19,50.0,70.0,1170.0,,,0.5,3.2,0.12,0.12,0.0,0.237,5.4,0.0
Matured charcuterie products for cooking,16.0,0.092,26.0,145.0,312.0,,0.942,2.074,6.845,0.198,0.63,0.0015,0.417,0.348,0.01
Matzo,15.0,0.16,25.0,125.0,250.0,,2.0,0.7,3.4,0.06,0.17,0.0,0.09,,
Mayonnaise sauce,13.0,0.01,2.0,48.0,25.0,0.004,0.5,0.29,0.3,0.03,0.01,,0.006,17.5,
"Mayonnaise, low fat",10.0,,2.0,17.0,37.0,0.003,0.2,0.21,,0.01,,,0.004,3.07,
Meat and vegetable soup,12.0,0.04,8.0,48.0,119.0,0.003,0.4,0.16,1.7,0.04,0.02,0.00023999999999999998,0.095,0.2,0.006
Meat balls,19.0,0.15,23.0,144.0,697.0,0.015,1.8,3.0,8.7,0.22,0.41,0.00199,0.283,3.2,
Meat based spreadable-textured specialities,15.0,0.13,14.0,140.0,220.0,,4.7,3.3,5.524,0.19,0.07,0.003,0.13,0.49,0.013
Meat burger (no sandwich),14.0,0.07,19.0,149.0,295.0,0.007,1.8,3.72,8.613,0.12,0.09,0.00152,0.212,0.7,0.014
Meat extract,60.0,,43.3,320.0,511.0,0.027600000000000003,1.0,,4.57,0.243,0.07,0.001,0.2,2.17,0.0
Meat in aspic,,,10.0,,,,,,4.529,,,,,,0.0
Meat loaf,44.0,0.07,23.0,163.0,310.0,0.024,1.94,2.5,7.1,0.14,0.33,0.001,0.2,0.22,0.008
"Meat loaf with cheese, vegetables or other",24.0,0.07,17.0,92.0,213.0,0.0179,1.173,1.675,3.871,0.126,0.114,0.0009,0.144,2.889,0.009
Meat soup,12.0,0.04,8.0,48.0,119.0,0.003,0.4,0.16,3.534,0.04,0.02,0.00023999999999999998,0.095,0.2,0.005
Meat stew,15.0,0.05,13.0,105.0,234.0,0.004,1.18,2.7,4.1,0.11,0.06,0.0008,0.21,0.19,0.022
Meat terrine,28.0,0.555,17.8,175.0,205.0,0.0205,5.5,2.5,8.13,1.14,0.14,0.0006,0.2,0.47,0.028
Medlars,9.73,0.071,6.32,18.8,116.0,0.000212,0.1,0.124,0.35,0.015,0.017,0.0,0.015,0.7,0.0
Melons and similar-,15.0,0.04,20.0,10.0,200.0,,0.8,0.16,0.5,0.05,0.04,0.0,0.06,0.1,0.0003
Meringue,12.0,0.12,8.0,20.0,92.0,0.004,0.24,0.1,1.6,0.21,,0.0001,0.01,,
Meringue tart,52.0,0.11,48.0,103.0,158.0,0.001,0.6,0.51,1.4,0.16,0.02,0.00014000000000000001,0.013,3.3,0.0
Mettwurst-type sausage,29.0,0.06,16.0,169.0,249.0,0.011,1.5,2.34,7.33,0.12,0.21,0.00092,0.165,0.5,0.0
"Mettwurst-type sausage, QUAL Low fat (naturally or reduced)",23.0,0.0965,24.5,173.5,332.0,0.011,1.3525,2.6675,8.507,0.181,0.544,0.00141,0.3825,0.284,0.017
Mexican yam beans,15.0,0.08,16.0,18.0,175.0,,0.6,0.8,0.617,0.03,0.04,0.0,0.03,0.0,0.0
"Mexican yam beans, PROCESS Cooking in water",14.0,0.073,15.0,17.0,142.0,,0.561,0.728,0.528,0.027,0.031,0.0,0.023,0.0,0.0
"Mexican yam beans, PROCESS Steaming",14.0,0.073,15.0,17.0,142.0,,0.561,0.728,0.528,0.027,0.031,0.0,0.023,0.0,0.0
Milk chocolate,162.0,0.23,50.0,205.0,404.0,0.008,3.2,1.1,1.72,0.35,0.07,0.00058,0.041,1.2,
"Milk chocolate, QUAL Low / Reduced sugar",289.0,0.844,131.0,350.0,1049.0,,9.68,2.201,3.355,0.472,0.092,0.0007,0.124,0.982,0.002
"Milk chocolate, QUAL Sugar free",250.0,0.24,100.0,205.0,404.0,0.008,4.0,0.11,3.355,0.35,0.07,0.00058,0.041,1.2,0.002
Milk from other milk producer animals,120.0,0.03,13.0,90.0,170.0,,0.1,0.5,0.1,0.04,0.03,0.0001,0.06,0.0,
"Milk powder, full fat",930.0,0.02,85.0,750.0,1209.0,0.01,0.2,3.09,6.87,1.3,0.28,0.004200000000000001,0.25,0.8,
"Milk powder, skimmed",1200.0,0.099,130.0,900.0,1500.0,0.013,0.5,4.7,9.17,1.8,0.35,0.005,0.3,0.043,
Milk protein,100.0,0.02,10.0,700.0,50.0,,0.0,0.16,17.79,0.07,0.0,0.0002,0.0,0.02,0.001
Milkshakes,112.0,0.04,11.0,92.0,144.0,0.002,0.1,0.32,0.8,0.16,0.03,0.00023,0.04,,0.001
Millet flour,40.0,0.7,150.0,260.0,370.0,0.002,6.0,1.0,3.083,0.19,0.68,0.0,0.6,0.044,0.001
Millet groats,20.0,0.49,170.0,310.0,430.0,0.002,9.0,2.24,4.25,0.14,0.26,0.0,0.75,0.05,0.001
Millet rolled grains,20.0,0.49,170.0,310.0,430.0,,9.0,2.24,4.25,0.14,0.26,0.0,0.75,0.05,0.001
Mint sauce,120.0,0.3,46.0,27.0,210.0,,7.4,0.2,,,,0.0,,,
Mints,210.0,0.12,30.0,75.0,260.0,0.0005,9.5,1.2,1.933,0.33,0.12,0.0,0.05,5.0,0.0
Miscellaneous coastal marine fishes,20.0,0.114,30.0,244.0,380.0,0.0424,0.7,0.519,4.7,0.03,,0.009,0.63,1.25,
"Miscellaneous coastal marine fishes, PROCESS Baking",77.0,0.05,35.0,260.0,400.0,0.054,0.4,0.4,8.0,0.1,0.07,0.002,0.41,0.59,0.001
"Miscellaneous coastal marine fishes, PROCESS Cooking in water",40.0,0.03,30.0,150.0,250.0,,0.4,0.6,12.33,,0.23,0.005,0.3,,0.002
"Miscellaneous coastal marine fishes, PROCESS Frying",14.0,0.129,32.0,261.0,383.0,,1.184,0.616,12.378,,0.123,0.0096,0.598,1.385,0.002
"Miscellaneous coastal marine fishes, PROCESS Steaming",25.7,0.1,22.3,120.0,274.0,0.0265,0.97,0.91,12.33,0.072,0.23,,0.07,0.105,0.002
Miscellaneous cooked sausages,10.0,0.055,12.3,277.0,249.0,0.0066,0.91,1.62,5.183,0.2,0.37,0.00028000000000000003,0.2,0.31,0.008
Miscellaneous demersal marine fishes,20.0,0.042,22.0,203.0,485.0,0.0165,0.5,0.483,2.0,0.08,0.07,0.0015,0.22,0.8,0.0
"Miscellaneous demersal marine fishes, PROCESS Baking",57.2,0.027,31.3,260.0,250.0,0.0174,0.9,0.58,7.156,0.2,0.07,0.0007,1.0,0.8,0.0
"Miscellaneous demersal marine fishes, PROCESS Cooking in water",23.9,0.064,33.8,152.0,224.0,0.0221,0.4,0.657,6.112,0.08,0.058,0.0021000000000000003,0.081,1.7,0.0
"Miscellaneous demersal marine fishes, PROCESS Frying",74.0,0.048,24.0,215.0,319.0,,0.923,0.583,7.478,0.239,0.203,0.0016,0.212,0.901,0.0
"Miscellaneous demersal marine fishes, PROCESS Steaming",25.7,0.1,22.3,120.0,274.0,0.0265,0.97,0.91,6.112,0.072,0.051,,0.07,0.105,0.0
Miscellaneous marine crustaceans,92.0,0.31,67.0,224.0,266.0,,1.76,2.17,6.407,0.034,0.051,0.0008,0.13,4.0,0.0
"Miscellaneous marine crustaceans, PROCESS Baking",83.2,0.457,26.9,189.0,103.0,0.0125,1.68,1.31,7.126,0.038,0.035,0.00135,0.112,2.75,0.0
"Miscellaneous marine crustaceans, PROCESS Cooking in water",83.2,0.457,26.9,189.0,103.0,0.0125,1.68,1.31,5.845,0.038,0.035,0.00135,0.112,2.75,0.0
"Miscellaneous marine crustaceans, PROCESS Frying",83.2,0.457,26.9,189.0,103.0,0.0125,1.68,1.31,7.126,0.038,0.035,0.00135,0.112,2.75,0.0
"Miscellaneous marine crustaceans, PROCESS Steaming",83.2,0.457,26.9,189.0,103.0,0.0125,1.68,1.31,6.243,0.038,0.035,0.00135,0.112,2.75,0.0
Miscellaneous mixed and processed breakfast cereals-deprecated,,0.45,85.0,330.0,400.0,0.004,3.5,2.4,16.1,0.06,0.35,,0.22,1.4,0.012
Miscellaneous pelagic marine fishes,24.0,0.123,31.0,250.0,360.0,0.023600000000000003,1.0,0.713,1.3,0.05,0.08,0.0085,0.45,1.5,0.0
"Miscellaneous pelagic marine fishes, PROCESS Baking",40.0,0.138,33.0,265.0,361.0,,1.102,0.84,7.412,0.233,0.038,0.009,0.424,1.649,0.0
"Miscellaneous pelagic marine fishes, PROCESS Cooking in water",42.0,0.138,33.0,264.0,336.0,,1.095,0.887,6.127,0.192,0.037,0.0085,0.392,1.68,0.0
"Miscellaneous pelagic marine fishes, PROCESS Frying",40.0,0.138,33.0,265.0,361.0,,1.102,0.84,7.412,0.233,0.038,0.009,0.424,1.649,0.0
"Miscellaneous pelagic marine fishes, PROCESS Steaming",42.0,0.138,33.0,264.0,336.0,,1.095,0.887,6.127,0.192,0.037,0.0085,0.392,1.68,0.0
Miscellaneous savoury extracts,70.0,0.2,160.0,950.0,2100.0,,2.9,2.7,73.0,0.18,4.85,0.001,1.6,0.0,0.0
Mixed and other not listed condiments,42.0,0.0273,10.5,30.9,520.0,0.0035,2.2,0.2,1.4,0.06,0.06,0.0,0.12,15.4,0.0
Mixed beef and mutton/lamb fresh meat,12.2,0.1078,25.6,209.1,361.7,0.0185,2.8,4.1,6.4,0.25,0.14,0.0015,0.42,0.7,
"Mixed beef and mutton/lamb fresh meat, QUAL Half fat or medium fat",11.0,,21.0,171.0,,,2.8,,,0.16,0.08,,,,
"Mixed beef and mutton/lamb fresh meat, QUAL Low fat (naturally or reduced)",11.0,,21.0,180.0,,,2.9,,,0.17,0.08,,,,
Mixed beer drinks,12.0,0.028,5.0,15.0,19.0,,0.227,0.03,0.54,0.015,0.002,0.0001,0.025,0.005,0.0
Mixed breakfast cereals,66.0,0.427,85.0,290.0,420.0,0.0108,4.0,2.0,7.2,0.05,0.1,,0.253,2.962,
Mixed cereal rolled grains,38.0,0.262,94.0,294.0,330.0,,2.959,2.107,5.05,0.114,0.335,0.0,0.283,0.83,0.0
Mixed cereal-based snacks,24.5,0.042,13.2,48.1,286.0,0.000683,0.402,0.261,0.983,0.073,0.058,,0.145,3.0,0.016
Mixed coffee imitates,126.0,,184.0,300.0,2800.0,0.0094,4.0,0.3,25.9,0.11,0.04,0.0,0.03,0.0,0.0
Mixed dried fruits,68.0,0.24,36.0,95.0,1003.0,0.003,1.8,0.43,1.5,0.09,0.04,0.0,0.16,1.9,0.007
Mixed fresh fat tissue,1.0,0.012,1.0,7.0,65.0,,0.18,0.37,1.54,0.0,0.08,0.0002,0.0,0.7,0.0
"Mixed fresh fat tissue, PROCESS Baking",4.15,6.4,21.0,348.0,300.0,0.037399999999999996,,3.7,22.0,0.0,0.17,0.0003,1.0,0.42,0.104
Mixed fresh meat,10.8,0.094,21.7,162.0,274.0,0.0121,1.2,2.0,8.788,0.17,0.056,0.00098,0.32,,0.008
"Mixed fresh meat, PROCESS Baking",8.1,0.072,18.4,170.0,293.0,,1.2,2.8,4.7,0.178,0.406,0.0013,0.27,0.5,0.007
"Mixed fresh meat, PROCESS Cooking in water",6.0,0.108,25.0,191.0,295.0,,1.905,4.398,9.305,0.254,0.379,0.0024,0.271,0.499,0.009
"Mixed fresh meat, PROCESS Steaming",6.0,0.108,25.0,191.0,295.0,,1.905,4.398,9.305,0.254,0.379,0.0024,0.271,0.499,0.009
"Mixed fresh meat, QUAL Half fat or medium fat",10.0,0.05,17.0,180.0,291.0,,1.3,4.47,4.8,0.15,0.1,,,,
"Mixed fresh meat, QUAL Low fat (naturally or reduced)",4.0,0.06,18.0,190.0,335.0,0.003,1.6,3.3,4.7,0.18,0.11,,,,
Mixed fruit nectars,10.0,0.01,7.0,7.0,95.0,0.001,0.2,0.07,0.287,0.02,0.02,0.0,0.035,0.1,0.001
Mixed green salad,51.0,0.04,14.0,35.0,300.0,,0.8,0.33,0.528,0.05,0.04,0.0,0.057,0.2,0.107
Mixed herbs and spices,1653.0,0.73,280.0,235.0,1873.0,,68.97,4.6,8.617,0.34,0.341,0.0,,,0.0
Mixed pork and mutton/lamb fresh meat,9.0,0.1,25.0,149.0,291.0,,1.8,3.5,7.933,0.198,0.975,0.0006,0.392,0.41,0.0
"Mixed pork and mutton/lamb fresh meat, QUAL Half fat or medium fat, PROCESS Cooking in water",16.5,0.1454,29.1,237.0,401.0,0.0214,2.2,3.6,6.2,0.27,0.37,0.001,0.39,0.7,
"Mixed pork and mutton/lamb fresh meat, QUAL Half fat or medium fat, PROCESS Steaming",16.5,0.1454,29.1,237.0,401.0,0.0214,2.2,3.6,6.2,0.27,0.37,0.001,0.39,0.7,
Mixed vegetable juice,13.0,0.083,8.0,21.0,193.0,0.000208,0.4,0.181,1.06,0.03,0.05,0.0,0.08,0.895,0.013
Mixed vegetable salad,51.0,0.04,14.0,35.0,300.0,,0.8,0.33,1.43,0.05,0.04,,0.057,0.2,0.031
Mixed vegetables soup,5.0,0.02,42.0,6.0,41.0,,0.1,0.08,2.585,,0.01,,0.017,0.1,0.019
"Mixed vegetables, boiled",43.0,0.07,15.0,46.0,230.0,0.001,0.6,0.32,1.314,0.06,0.05,0.0,0.083,0.5,0.025
"Mixed vegetables, braised",50.9,0.098,22.4,41.9,218.0,0.0007,1.23,0.36,1.661,0.077,0.072,0.0,0.11,0.35,0.025
"Mixed vegetables, fried",30.0,0.11,16.0,46.0,230.0,0.0026,0.5,0.3,1.601,0.13,0.07,,0.25,0.804,0.024
"Mixed vegetables, grilled",25.5,0.093,24.0,59.0,212.0,0.0004,0.95,0.45,1.795,0.085,0.122,0.0,0.096,0.3,0.026
Modified starch,10.0,,4.0,5.0,5.0,0.0,0.28,,,0.008,0.0,0.0,,0.0,
Molasses,210.0,0.49,240.0,31.0,1460.0,,4.7,0.3,0.9,0.1,0.04,0.0,0.67,0.41,0.0
Morels,12.0,0.07,10.0,20.0,248.0,0.001,0.4,0.1,5.783,0.02,0.02,0.0,0.04,0.1,0.0
"Morels, PROCESS Baking",9.05,0.42,10.5,85.1,363.0,0.00647,0.31,0.477,6.05,,0.086,0.0,0.06,,0.0
"Morels, PROCESS Cooking in water",12.0,0.325,15.0,169.0,336.0,,1.123,0.486,5.222,0.055,0.112,0.0,0.044,0.053,0.0
"Morels, PROCESS Steaming",14.0,0.41,20.0,210.0,453.0,,1.313,0.615,6.486,0.074,0.142,0.0,0.058,0.062,0.0
Mortadella-type sausage,18.0,0.06,13.0,286.0,258.0,0.008,1.3,1.7,6.9,0.12,0.14,0.00066,0.035,0.3,0.011
"Mortadella-type sausage, QUAL Low fat (naturally or reduced)",18.0,0.06,13.0,150.0,200.0,0.008,1.3,1.7,6.605,0.12,0.14,0.00066,0.035,0.36,0.001
Moussaka,64.0,0.06,17.0,113.0,276.0,0.002,0.87,1.4,3.2,0.11,0.07,0.0008,0.12,0.95,0.006
Mozzarella,403.0,0.086,26.8,239.0,145.0,0.008,0.2,4.3,5.9,0.51,0.05,0.00138,0.07,0.2,0.0
Muesli plain,47.0,0.33,100.0,368.0,509.0,0.004,3.3,2.2,5.2,0.05,0.2,,,1.6,
Muffins,161.0,0.26,33.0,259.0,177.0,0.003,1.44,0.8,2.436,0.12,0.09,0.0005,0.06,0.79,0.004
Mulberries (black and white),36.0,0.06,15.0,48.0,260.0,0.0006,1.6,0.2,0.9,0.05,0.03,0.0,0.06,0.5,0.0
Mullets,66.0,0.04,30.0,220.0,340.0,0.046,0.3,0.3,9.133,0.08,0.08,0.002,0.42,0.51,0.0
"Mullets, PROCESS Baking",77.0,0.05,35.0,260.0,400.0,0.054,0.4,0.4,8.0,0.1,0.07,0.002,0.41,0.59,0.0
"Mullets, PROCESS Cooking in water",51.0,0.009,27.0,185.0,339.0,,1.26,0.605,6.828,0.089,0.041,0.0015,0.249,0.493,0.0
"Mullets, PROCESS Frying",51.0,0.009,27.0,185.0,339.0,,1.26,0.605,6.828,0.089,0.041,0.0015,0.249,0.493,0.0
"Mullets, PROCESS Steaming",51.0,0.009,27.0,185.0,339.0,,1.26,0.605,6.828,0.089,0.041,0.0015,0.249,0.493,0.0
Multigrain (not only rye-wheat) bread and rolls,45.0,0.24,57.0,168.0,208.0,0.006,1.8,1.24,3.148,0.07,0.11,,0.089,,0.003
Multivitamin juices,15.0,0.01,11.0,11.0,174.0,0.001,0.1,0.08,2.0,0.21,0.3,0.0005,1.0,5.0,0.001
"Multivitamin juices, FORT Combination of vitamin and mineral only supplements",10.0,0.053,7.0,12.0,108.0,,,0.05,0.241,0.21,0.3,0.0,0.029,0.504,0.003
"Multivitamin juices, FORT Vitamin only supplements",15.0,0.01,11.0,11.0,174.0,0.001,0.1,0.08,2.0,0.21,0.3,0.0005,1.0,5.0,0.001
Mung bean sprouts,40.0,0.08,21.0,48.0,74.0,0.001,1.0,0.6,1.5,0.4,0.22,0.0,0.12,0.1,0.005
"Mung bean sprouts, PROCESS Cooking in water",40.0,0.01,14.0,37.0,74.0,0.001,1.0,0.3,1.4,0.4,0.22,0.0,0.09,0.1,
"Mung bean sprouts, PROCESS Steaming",40.0,0.01,14.0,37.0,74.0,0.001,1.0,0.3,1.4,0.4,0.22,0.0,0.09,0.1,
Mung beans (dry),88.0,0.941,189.0,395.0,875.0,0.0088,6.74,2.68,6.58,0.233,0.621,0.0,0.5,1.9,0.17
"Mung beans (dry), PROCESS Cooking in water",24.0,0.19,43.0,81.0,270.0,0.005,1.4,0.9,13.789,0.07,0.09,0.0,0.07,1.247,0.085
"Mung beans (dry), PROCESS Steaming",24.0,0.19,43.0,81.0,270.0,0.005,1.4,0.9,13.789,0.07,0.09,0.0,0.07,1.247,0.085
Mushroom based dishes,10.0,0.76,10.0,90.0,348.0,0.01,0.65,0.4,4.196,0.27,0.08,0.0001,0.16,0.44,0.009
Mushroom salad,18.1,0.17,13.8,52.2,292.0,0.0018,0.58,0.4,3.938,0.2,0.06,2e-05,0.11,1.47,0.009
Mushroom soup,5.0,0.02,,6.0,41.0,,0.1,0.08,1.515,,0.01,,0.017,0.1,0.001
Mushrooms cooked sauce,17.3,0.03,6.8,38.4,87.3,0.0006,0.7,0.26,1.3,0.06,0.27,4e-05,0.03,0.58,0.0
